block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
2200 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,3,,,,,4
2400 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,1,,,,,,4
2500 AVE G,,,,,,1,,3,,,,,4
2500 BASSWOOD BL,,,,1,2,,,,,,,1,4
2500 EAST LOOP INTERSTATE 820 820 NORTH,,,1,2,,,1,,,,,,4
2600 AVE H,,,,,1,,1,2,,,,,4
2700 EAST LOOP INTERSTATE 820,,,,1,1,2,,,,,,,4
2700 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,3,1,,,,,4
2800 AVE I,,,2,,1,,1,,,,,,4
2800 BASSWOOD BL,,,,,,,,,,,2,2,4
2800 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,1,1,,,,,4
3000 AVE H,,,,1,,2,,1,,,,,4
3000 AVE I,,,,1,,3,,,,,,,4
3000 AVE M,,,,,1,,2,1,,,,,4
3000 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,3,,,,,4
3000 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,2,,,,,,4
3100 AVE M,1,,1,1,,,,1,,,,,4
3200 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,1,,,,,4
3300 AVE J,,,,,,3,,1,,,,,4
3300 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,3,,,,,4
3300 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,3,,,,,4
3400 AVE C,,,,,2,1,1,,,,,,4
3400 AVE D,,,,,,,1,3,,,,,4
3400 AVE I,,,1,,,,1,2,,,,,4
3400 AVE K,,1,,1,,1,1,,,,,,4
3400 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,1,,1,,,,4
3400 SYDNEY ST,,,1,,1,1,,,,,,1,4
3500 AVE L,,1,,,,2,,1,,,,,4
3500 AVE M,,,,,1,1,1,1,,,,,4
3500 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,2,2,,,,,4
3700 AVE I,,,,,,2,1,1,,,,,4
3700 AVE J,,2,,1,,,1,,,,,,4
3700 WEST LOOP INTERSTATE 820 820 SOUTH,,,,1,,1,,2,,,,,4
3800 AVE M,,,,,,2,1,1,,,,,4
3900 AVE H,1,2,,,1,,,,,,,,4
3900 RINGDOVE WAY,2,2,,,,,,,,,,,4
4200 AVE J,,,,,,1,,3,,,,,4
4200 INSURANCE LN,,,,1,3,,,,,,,,4
4200 WEST LOOP INTERSTATE 820 820 SOUTH,,,,1,2,,,1,,,,,4
4500 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,1,,,,,4
4700 WEST LOOP INTERSTATE 820 820 SOUTH,,,,2,1,,,1,,,,,4
4800 VICKERY BL,,,,,,1,,,,,1,2,4
4900 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,3,,,,,,4
5000 EAST LOOP INTERSTATE 820 820 SOUTH,,,1,2,,,1,,,,,,4
5200 ALTAMESA BL,,,,,1,,,,,,2,1,4
5200 GOLDEN TRIANGLE BL,,,,,,,,,,,1,3,4
5200 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,1,2,,,,,4
5400 TINKERBELL LN,,,,,,3,1,,,,,,4
5700 LIBBEY AVE,,,,,1,1,,,,,,2,4
700 ADOLPHUS CIR,,,,,,,1,3,,,,,4
7000 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,2,,,,,4
8500 S MULLIGAN PA,,,,,,,,,,,1,3,4
8600 RAY WHITE RD,,,1,1,,2,,,,,,,4
WEST LOOP INTERSTATE 820 820 NORTH SILVER CREEK RD,,,,,,,,,,,,4,4
100 28TH INTERSTATE 35W,,,1,,,,,2,,,,,3
100 30 EXIT EASTCH,,,,,,,,,,,1,2,3
100 EAST LOOP INTERSTATE 820 820 E I,,,1,,1,,1,,,,,,3
100 EAST LOOP INTERSTATE 820 820 LAN,,,,1,,,,,,2,,,3
100 EAST LOOP INTERSTATE 820 820 RAN,,,,1,,,,1,,1,,,3
100 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,1,2,,,,,3
100 LANCASTER EAST LOOP INTERSTATE 820,1,,,,,,1,1,,,,,3
100 SHUMER SHUFFLE DR,,,,,,2,1,,,,,,3
100 SUMMIT AVE ENTER INTERSTATE 30,,,,,,,,,,,,3,3
100 TRINITY EAST LOOP INTERSTATE 820 82,,,,,,,,1,2,,,,3
100 WEST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,1,2,,,,,3
1000 EAST LOOP INTERSTATE 820 820 SOUTH,,,1,,2,,,,,,,,3
1000 FLORENCE ST,,,,1,1,1,,,,,,,3
1000 OAKLAND BL,,,,1,,2,,,,,,,3
1000 TERMINAL RD,,,1,,2,,,,,,,,3
1000 WHISPER WOODS CI,1,,2,,,,,,,,,,3
10000 IRON RIDGE DR,,,,,1,2,,,,,,,3
10100 BLUE MOUND RD,,,,3,,,,,,,,,3
10100 CHAPEL ROCK DR,,,,1,2,,,,,,,,3
10100 RED BLUFF LN,,,,,2,1,,,,,,,3
10200 LOS BARROS TRL,,,,1,,2,,,,,,,3
10200 POINT LOBOS TRL,,,,,2,1,,,,,,,3
10200 RED BLUFF LN,,,,2,1,,,,,,,,3
10300 LAKE TER,,,,2,,1,,,,,,,3
10300 LONE PINE LN,,,,,2,1,,,,,,,3
10400 BRADSHAW DR,,,,,2,1,,,,,,,3
10700 TALL OAK DR,1,,,,2,,,,,,,,3
10800 RIPPLING BROOK WAY,1,,,,1,1,,,,,,,3
1100 BLACKBURN DR,,,1,,2,,,,,,,,3
1100 CARLOCK ST,,,,1,2,,,,,,,,3
1100 CASTLE SPRINGS RD,,2,,1,,,,,,,,,3
1100 GRAINGER ST,,1,,,1,1,,,,,,,3
1100 ILLINOIS AVE,,,,1,1,1,,,,,,,3
1100 JACKSBORO HW,1,1,1,,,,,,,,,,3
1100 MUSTANG RIDGE DR,1,,1,,,1,,,,,,,3
1100 N INTERSTATE 820 FW,,1,,2,,,,,,,,,3
1100 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,1,,,,,,3
1100 REBA CT,,,,,3,,,,,,,,3
1100 REDCLOUD DR,1,,,1,1,,,,,,,,3
1100 SANDALWOOD DR,,,,,1,2,,,,,,,3
1100 TAPPANZEE CT,,,,,1,1,1,,,,,,3
1100 VERBENA ST,,,1,,1,,,,,,1,,3
1100 WASHINGTON AVE,,,,,2,1,,,,,,,3
11000 BRIAROAKS DR,,,,,3,,,,,,,,3
11000 RICHARDO LN,,,,,1,2,,,,,,,3
11100 CAMP BOWIE WEST BL,,,,2,,,,,,,1,,3
11400 CAMP BOWIE WEST BL,,,,,1,,,,,,2,,3
11500 LAUREN WAY,3,,,,,,,,,,,,3
11600 CRYSTAL FALLS DR,,1,1,,,1,,,,,,,3
11700 HICKS AVONDALE SCHOO RD,,,1,,2,,,,,,,,3
11800 SUNDOG WAY,,,,1,,,,2,,,,,3
1200 ARTESIA DR,,,,1,2,,,,,,,,3
1200 BARRON WAY,,1,2,,,,,,,,,,3
1200 BESSIE ST,1,,,,2,,,,,,,,3
1200 EAST LOOP INTERSTATE 820,,,1,1,,1,,,,,,,3
1200 EVANS AVE,,,,1,1,1,,,,,,,3
1200 GRAND AVE,,,,1,,1,,,,,1,,3
1200 HAMSTED ST,,1,,,1,1,,,,,,,3
1200 HICKORY BEND LN,,,,,1,,,,,,2,,3
1200 LINCOLN AVE,,,,1,,2,,,,,,,3
1200 LOWE ST,,,,,1,2,,,,,,,3
1200 NORTH SOUTH FW,1,1,1,,,,,,,,,,3
1200 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,2,,,,,1,,3
1200 SARGENT ST,,,,1,1,1,,,,,,,3
1200 STEINBURG LN,,,1,,,2,,,,,,,3
1200 WEST LOOP INTERSTATE 820 820 NORTH,,,,,2,,1,,,,,,3
12000 WALDEN WOOD DR,,,2,1,,,,,,,,,3
12300 MACAROON LN,,,,1,2,,,,,,,,3
12400 HUNTERS CABIN CT,,1,,,2,,,,,,,,3
12500 WILDCAT WAY N,,,2,1,,,,,,,,,3
12900 CEDAR HOLLOW DR,,,,2,,1,,,,,,,3
12900 GRANDSTAND WAY,,,2,,,1,,,,,,,3
1300 ALSTON AVE,,,,1,,2,,,,,,,3
1300 BANKS ST,,,,,,3,,,,,,,3
1300 BRIDGEWOOD DR,,,,2,,1,,,,,,,3
1300 DEBBIE ST,,,1,,,1,,,,,1,,3
1300 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,3,,,,,,3
1300 GENDY ST,,,1,,2,,,,,,,,3
1300 HENDERSON ST,,,,,,2,,,,,1,,3
1300 LAGONDA AV,2,,1,,,,,,,,,,3
1300 LAGONDA AVE,,,,,2,1,,,,,,,3
1300 LINCOLNSHIRE WAY,,,,,,3,,,,,,,3
1300 NORTH SOUTH FW,,1,2,,,,,,,,,,3
1300 ROPERS WAY,,2,1,,,,,,,,,,3
1300 SOUTHEAST LOOP INTERSTATE 820,1,,,1,1,,,,,,,,3
13100 SOUTH FREEWAY SERVICE ROAD,,,1,,,1,,,,,1,,3
13200 FENCEROW RD,,,1,2,,,,,,,,,3
13200 RIDGEPOINTE RD,,1,,,2,,,,,,,,3
13300 VISTA GLEN LN,,1,,1,,1,,,,,,,3
13500 LEATHER STRAP DR,,,,1,1,1,,,,,,,3
13800 RANCH HORSE RU,2,,,1,,,,,,,,,3
1400 5TH AVE,,,,,,3,,,,,,,3
1400 BLUEBONNET DR,,,,1,2,,,,,,,,3
1400 CIRCLE DR,,,,,,3,,,,,,,3
1400 EAST FREEWAY,,,,,,,2,1,,,,,3
1400 EVANS AVE,,,,,2,1,,,,,,,3
1400 LINCOLN AVE,,,,,1,2,,,,,,,3
1400 MEADOW LANE TE,,1,2,,,,,,,,,,3
1400 MEADOWOOD VILLAGE DR,,2,1,,,,,,,,,,3
1400 S JIM WRIGHT FW,,1,2,,,,,,,,,,3
14200 FAA BL,,,,,,,,,,,2,1,3
14300 OAKRIDGE CI,,2,1,,,,,,,,,,3
14400 FAA BL,,,,,,,,,,,3,,3
14700 ELIZABETHTOWN CEMETE RD,,1,1,,1,,,,,,,,3
1500 AMANDA AV,1,1,1,,,,,,,,,,3
1500 AVE D,,1,,,,,,1,,,1,,3
1500 EAST LOOP INTERSTATE 820,,,2,1,,,,,,,,,3
1500 LANGSTON ST,,,1,,2,,,,,,,,3
1500 MIMS ST,,,,1,2,,,,,,,,3
1500 SOUTHEAST LOOP INTERSTATE 820,,1,2,,,,,,,,,,3
1500 WEST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,2,1,,,,,3
1500 WITHERS ST,,,,,1,2,,,,,,,3
15000 HERITAGE PK,,,,,,,,,,,1,2,3
15100 WILD DUCK WAY,1,,,,,1,,,,,1,,3
1600 BURMEISTER RD,1,,1,,1,,,,,,,,3
1600 E INTERSTATE 820 FREEWAY S,,,,1,,2,,,,,,,3
1600 INTERMODAL PK,,,,,,,,,,,1,2,3
1600 LAGONDA AVE,,,,,,2,,,,,1,,3
1600 MEACHAM BL,,,,,,,,,,,2,1,3
1600 S UNIVERSITY DR,,,,,,,,,,,3,,3
1600 SOUTH FREEWAY SERVICE ROAD,,,1,,2,,,,,,,,3
1600 SOUTHEAST LOOP INTERSTATE 820,,,1,,2,,,,,,,,3
1600 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,2,,,,,3
16100 COWBOY TRL,,,,,2,1,,,,,,,3
16100 KIVA CT,,,,1,2,,,,,,,,3
16100 THREE WIDE DR,,,,,,,,3,,,,,3
16200 COWBOY TRL,,,,,,2,,1,,,,,3
16600 VICTORY CIR E,,,,,,3,,,,,,,3
1700 BAXTER SPRINGS DR,,,,,,3,,,,,,,3
1700 BRADFORD PL,,,,2,1,,,,,,,,3
1700 BRENNAN AVE,,,,,2,1,,,,,,,3
1700 DENVER AV,,2,,1,,,,,,,,,3
1700 GALVESTON AV,1,,2,,,,,,,,,,3
1700 QUEEN ST,,,,,1,2,,,,,,,3
1700 SOUTH FREEWAY,,,,,3,,,,,,,,3
1700 SOUTHERN ST,1,2,,,,,,,,,,,3
1700 VINEWOOD ST,,,,,1,,,,,,2,,3
1700 WALLACE ST,,,,,3,,,,,,,,3
1700 WEST LOOP INTERSTATE 820 820 NORTH,,1,,2,,,,,,,,,3
1700 WHITE FEATHER LN,,1,,,,2,,,,,,,3
1700 WILD WILLOW TRL,,,,,,3,,,,,,,3
1700 WILLOW VALE DR,,1,1,1,,,,,,,,,3
1800 CHRISTOPHER DR,,1,,2,,,,,,,,,3
1800 COLLEGE AV,,3,,,,,,,,,,,3
1800 EAST LOOP INTERSTATE 820,,,,,2,1,,,,,,,3
1800 EVANS AVE,,,,2,1,,,,,,,,3
1800 FOXFIELD WAY,,1,1,,,,,1,,,,,3
1800 GOULD AVE,,,,,1,2,,,,,,,3
1800 KITTREDGE WAY,1,,1,,,,,1,,,,,3
1800 RAND ST,,,,,1,2,,,,,,,3
1800 WHITE FEATHER LN,1,,,1,1,,,,,,,,3
1800 WISEMAN AVE,,,,,2,1,,,,,,,3
1900 CARVER AV,,1,2,,,,,,,,,,3
1900 COBB PARK DR,1,,,,,2,,,,,,,3
1900 LLOYD AVE,,,,,3,,,,,,,,3
1900 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,1,,,,,3
1900 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,3,,,,,,,3
1900 PANTEGO DR,,,,,1,2,,,,,,,3
1900 SANDY LN,,,,,,2,,,,,1,,3
1900 SOUTH FREEWAY SERVICE ROAD,,,2,,1,,,,,,,,3
1900 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,1,,,,,3
1900 SOUTHWEST LOOP INTERSTATE 820,,,3,,,,,,,,,,3
1900 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,3,,,,,,,3
1900 STALCUP RD,1,,,,1,1,,,,,,,3
200 ADOLPH ST,,,,,1,2,,,,,,,3
200 BEECHGROVE TER,,,,,3,,,,,,,,3
200 CALHOUN ST,,,,,1,1,,,,,1,,3
200 E SPURGEON ST,,,,,,,,,,,3,,3
200 HIGHLAND TER S,,,,2,,1,,,,,,,3
200 S JIM WRIGHT FW,1,,2,,,,,,,,,,3
200 SOUTHWEST LOOP INTERSTATE 820,1,,,1,1,,,,,,,,3
200 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,1,1,,,,,3
200 STREAMS AND VALLEYS CIR,,,,,3,,,,,,,,3
200 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,2,1,,,,,3
200 WIMBERLY ST,,,,,,3,,,,,,,3
2000 AVE E,,,1,2,,,,,,,,,3
2000 BLUEBONNET DR,,,1,,,2,,,,,,,3
2000 E INTERSTATE 820 FW,,1,2,,,,,,,,,,3
2000 GLENCO TER,,,,,,3,,,,,,,3
2000 GRAHAM RANCH RD,,,,,3,,,,,,,,3
2000 IRMA ST,,,1,,2,,,,,,,,3
2000 NORTH SOUTH FW,,1,2,,,,,,,,,,3
2000 NORTHWEST LOOP INTERSTATE 820,1,1,,,1,,,,,,,,3
2000 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,2,1,,,,,,3
2000 PACINO DR,,,,,1,2,,,,,,,3
2000 ROOSEVELT AVE,,,,,2,1,,,,,,,3
2000 TRINA DR,,,,2,1,,,,,,,,3
2100 ADEN RD,2,,,,,1,,,,,,,3
2100 AVE C,,,,,,,1,2,,,,,3
2100 GRANDVIEW DR,,,,,1,2,,,,,,,3
2100 MALL CIR,,,,,,,,3,,,,,3
2100 MONTGOMERY ST,,,,1,,2,,,,,,,3
2100 N INTERSTATE 820 FW,2,,,1,,,,,,,,,3
2100 NORTH SOUTH FREEWAY,,,,,2,1,,,,,,,3
2100 OLD GLORY TRL,,,,,3,,,,,,,,3
2100 PEARL AVE,,,,1,2,,,,,,,,3
2100 SHANE AVE,,,,1,2,,,,,,,,3
2100 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,1,,,,,3
2200 5TH AVE,,,,,1,2,,,,,,,3
2200 BRIARDALE RD,,,,,2,1,,,,,,,3
2200 CHELSEA RD,,,,1,1,1,,,,,,,3
2200 COOKS LN,,,,,,3,,,,,,,3
2200 S ROSALINDA PA,,,,,,,,,,,2,1,3
2200 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,1,,,,,3
2300 ALTA CANADA LN,,,,1,2,,,,,,,,3
2300 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,2,,,1,,3
2300 ELLIS AVE,,,,,,3,,,,,,,3
2300 EPHRIHAM AVE,,,,,3,,,,,,,,3
2300 HALBERT ST,,,1,,,,,,,,2,,3
2300 MULE ALLEY ST,,,,,,1,,2,,,,,3
2300 RANGER DR,,,1,1,1,,,,,,,,3
2300 REFUGIO AVE,,,,,2,1,,,,,,,3
2300 WESTBROOK AVE,,,,1,2,,,,,,,,3
2400 BIRDELL CT,,,,,1,2,,,,,,,3
2400 COLD SPRINGS RD,,,,2,1,,,,,,,,3
2400 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,2,,,1,,3
2400 ELLIS AV,,,1,2,,,,,,,,,3
2400 INDIAN COVE ST,,,1,1,1,,,,,,,,3
2400 LAS BRISAS ST,1,,,,1,,,,,,1,,3
2400 LUDELLE ST,,,,1,,1,,,,,1,,3
2400 MULE ALLEY ST,,,,2,,,1,,,,,,3
2400 UNIVERSITY DR,,,,,1,1,,,,,1,,3
2400 VIA VILLANI,,,,,3,,,,,,,,3
2400 WHITMORE ST,,,,1,,2,,,,,,,3
2400 WILLING AVE,,,,,2,1,,,,,,,3
2400 WINTON TER W,,,,1,1,1,,,,,,,3
2400 YEAGER ST,,,,1,1,1,,,,,,,3
2500 BEVERLY AVE,,,,,2,1,,,,,,,3
2500 BUTTERFIELD DR,1,,,,2,,,,,,,,3
2500 CLINTON AV,,3,,,,,,,,,,,3
2500 CONCINA WAY,,2,,,,1,,,,,,,3
2500 EAST FREEWAY,,,,,1,1,1,,,,,,3
2500 ECHO POINT DR,1,,,1,,1,,,,,,,3
2500 LIPSCOMB ST,,,,,2,1,,,,,,,3
2500 NORMONT CIR,,,,3,,,,,,,,,3
2500 NW JIM WRIGHT FREEWAY,,,,3,,,,,,,,,3
2500 OXFORD AVE,,,,3,,,,,,,,,3
2500 POLARIS DR,,1,,,,2,,,,,,,3
2500 SHIRLEY AV,2,,,1,,,,,,,,,3
2500 TIMBERLINE DR,,,,,2,1,,,,,,,3
2500 WALLACE ST,,,1,,1,1,,,,,,,3
2500 WILKINSON AVE,,,,,2,1,,,,,,,3
2500 YEAGER ST,,,1,,1,1,,,,,,,3
2600 BURTON AVE,,,,,1,2,,,,,,,3
2600 CHICAGO AVE,,,,,2,1,,,,,,,3
2600 EVANS AV,1,,2,,,,,,,,,,3
2600 HALBERT ST,,,,,,3,,,,,,,3
2600 LANGSTON ST,,,1,,1,1,,,,,,,3
2600 MARTIN LUTHER KING FREEWAY,,,,,2,1,,,,,,,3
2600 MOUNTAIN LION DR,,,,,3,,,,,,,,3
2600 N INTERSTATE 820 FW,1,2,,,,,,,,,,,3
2600 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,3,,,,,3
2600 NW JIM WRIGHT FW,,1,2,,,,,,,,,,3
2600 PROSPECT AV,,,3,,,,,,,,,,3
2600 ROOSEVELT AVE,,,,,2,1,,,,,,,3
2600 TRIANGLE LEAF DR,,,,,3,,,,,,,,3
2600 TRUE AVE,,,,1,,1,,,,,1,,3
2700 CASTRO LN,,,,1,1,1,,,,,,,3
2700 CHRISTINE CT,,,1,,1,1,,,,,,,3
2700 CULLEN ST,,,,,,2,,,,,1,,3
2700 GLENDALE AVE,,,,1,2,,,,,,,,3
2700 GOLDENROD AVE,,,,,1,2,,,,,,,3
2700 LAS VEGAS TR,2,,1,,,,,,,,,,3
2700 LINCOLN AVE,,,,,2,1,,,,,,,3
2700 SADLER AV,3,,,,,,,,,,,,3
2700 VIRGINIA CT,,,,1,1,1,,,,,,,3
2700 WEST FREEWAY SERVICE ROAD,,,,2,1,,,,,,,,3
2700 WHITE SETTLEMENT RD,,,,,,2,,,,,1,,3
2700 WILDRIDGE CT,,,,,3,,,,,,,,3
2700 WINGATE ST,,,,,1,2,,,,,,,3
2800 AVE G,,,,,1,,1,1,,,,,3
2800 AZLE AV,,2,1,,,,,,,,,,3
2800 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,2,,,,,3
2800 GALEMEADOW DR,,,1,1,,,,,,,,1,3
2800 HOUSTON WOOD DR,,,,,,3,,,,,,,3
2800 NORTHEAST LOOP INTERSTATE 820,,,2,1,,,,,,,,,3
2800 NW JIM WRIGHT FW,,3,,,,,,,,,,,3
2800 OLD MANSFIELD RD,,,,2,,1,,,,,,,3
2800 ROOSEVELT AVE,,,,,1,2,,,,,,,3
2800 S INTERSTATE 820 FW,1,1,1,,,,,,,,,,3
2800 SARAH JANE LN,,,,,2,1,,,,,,,3
2800 THANNISCH AVE,,,,2,,1,,,,,,,3
2800 WALKER ST,1,,,,,2,,,,,,,3
2900 AVE J,,,,,,1,1,1,,,,,3
2900 CREEKWOOD LN,,1,,1,,1,,,,,,,3
2900 HIGHLAWN TER,,,,2,1,,,,,,,,3
2900 LAS VEGAS TR,,2,1,,,,,,,,,,3
2900 LEE AVE,,,,,1,2,,,,,,,3
2900 NORTHWEST LOOP INTERSTATE 820,1,,,1,,1,,,,,,,3
2900 OLIVE PL,,,,,2,1,,,,,,,3
2900 SACKETT LANDING,,1,1,,1,,,,,,,,3
2900 SOUTHWEST LOOP INTERSTATE 820,,,,2,1,,,,,,,,3
2900 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,,2,,,,,3
2900 WATAUGA RD,,,,,2,1,,,,,,,3
300 ALLENWOOD DR,,,,1,1,1,,,,,,,3
300 BELLVUE DR,,,,2,,1,,,,,,,3
300 NORTH SOUTH FREEWAY,,,,1,2,,,,,,,,3
300 NURSERY LN,,,,,,3,,,,,,,3
300 PARADISE ST,,,,1,2,,,,,,,,3
300 RADIOSHACK CIR,,1,,1,1,,,,,,,,3
300 TEMPLETON DR,,,,1,2,,,,,,,,3
3000 AVE D,1,,,,1,,1,,,,,,3
3000 DILLARD ST,,3,,,,,,,,,,,3
3000 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,2,1,,,,,3
3000 LINCOLN AVE,,,,1,,2,,,,,,,3
3000 PORTALES DR,1,,,1,,1,,,,,,,3
3000 TRINITY PARK DR,,,,,1,2,,,,,,,3
3000 WICHITA CT,,,,,2,1,,,,,,,3
3100 AVE B,,,,,1,,2,,,,,,3
3100 BONAVENTURE BL,,,,1,1,1,,,,,,,3
3100 DEEN RD,,,1,1,1,,,,,,,,3
3100 EAST LOOP INTERSTATE 820,,,1,,1,1,,,,,,,3
3100 EAST LOOP INTERSTATE 820 820 SOUTH,,,,,2,,1,,,,,,3
3100 ELLIS AV,2,1,,,,,,,,,,,3
3100 JOYMEADOW DR,,,,1,2,,,,,,,,3
3100 MARYS LN,,,,,,3,,,,,,,3
3100 NORTHWEST LOOP INTERSTATE 820,1,,2,,,,,,,,,,3
3100 ROSEN AVE,,,,1,,2,,,,,,,3
3100 S JIM WRIGHT FW,,,3,,,,,,,,,,3
3100 S UNIVERSITY DR,,,,,,,,,,,3,,3
3100 SIRRON ST,,,,2,,,,,,,1,,3
3100 STUART DR,,,,,2,1,,,,,,,3
3100 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,2,,,,,3
3100 WILLING AV,1,1,1,,,,,,,,,,3
3200 AIRPORT FREEWAY,,,,2,,1,,,,,,,3
3200 AVE G,,,,1,1,,,1,,,,,3
3200 COMANCHE ST,,,,1,1,1,,,,,,,3
3200 FITZHUGH AV,,,3,,,,,,,,,,3
3200 HALE AVE,,,,,2,1,,,,,,,3
3200 MEADOWMOOR,,,,3,,,,,,,,,3
3200 N TERRY ST,,,,,,,,,,,3,,3
3200 NEW YORK AV,,1,2,,,,,,,,,,3
3200 STEAMBOAT DR,,,,,1,2,,,,,,,3
3200 STUART DR,,,,1,1,1,,,,,,,3
3200 TRAVIS AVE,,,,,,2,,,,,1,,3
3200 WINDY HOLLOW WAY,,2,1,,,,,,,,,,3
3300 AZLE AV,,,3,,,,,,,,,,3
3300 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,3,,,,,,3
3300 FOSSIL CREEK BL,,,,,1,,,,,,,2,3
3300 FRIENDSWAY CT,,,,,2,1,,,,,,,3
3300 GARMON DR,,,,1,,2,,,,,,,3
3300 S INTERSTATE 820 FW,,,3,,,,,,,,,,3
3300 SOUTHWEST LOOP INTERSTATE 820,1,,,1,1,,,,,,,,3
3300 STUART DR,,,,,1,,,,,,2,,3
3300 TOWNSEND DR,,1,,,1,1,,,,,,,3
3300 WEBER ST,,,,1,,2,,,,,,,3
3300 WILBARGER ST,,,,1,,2,,,,,,,3
3300 YUCCA AV,2,1,,,,,,,,,,,3
3400 AVE H,,,1,,,1,,1,,,,,3
3400 BRYAN AVE,,,,,2,1,,,,,,,3
3400 CHILDRESS ST,,,,,1,2,,,,,,,3
3400 MEADOWBROOK DR,,1,1,1,,,,,,,,,3
3400 MICHELLE RIDGE DR,,,1,,2,,,,,,,,3
3400 RACE ST,,,2,,,1,,,,,,,3
3500 AVE D,,,1,1,1,,,,,,,,3
3500 AVE K,,,,2,,,,1,,,,,3
3500 BLUEBONNET CI,2,,1,,,,,,,,,,3
3500 BRYANT IRVIN RD,,,,1,,2,,,,,,,3
3500 HIGHWAY,,,,,1,1,,1,,,,,3
3500 NORFOLK RD,,,,,2,1,,,,,,,3
3500 PENDERY LN,,,,,,3,,,,,,,3
3500 RAMONA DR,,,,1,,2,,,,,,,3
3500 S INTERSTATE 820 FW,,3,,,,,,,,,,,3
3500 STALCUP RD,,,,1,2,,,,,,,,3
3500 STONE CREEK PK,,,,,,,,,,,2,1,3
3500 WHITTIER ST,,,,1,,2,,,,,,,3
3500 WICKLOW CT,,1,,,2,,,,,,,,3
3600 ANGLIN DR,,1,,,2,,,,,,,,3
3600 AVE I,,,,,1,,,2,,,,,3
3600 AVE M,,,,,,1,1,1,,,,,3
3600 BURGEE CT,,1,,,2,,,,,,,,3
3600 CRENSHAW AVE,,,,3,,,,,,,,,3
3600 E INTERSTATE 820 FREEWAY S,,,,2,1,,,,,,,,3
3600 ERATH ST,,,,,2,1,,,,,,,3
3600 FRAZIER AVE,,,,1,,2,,,,,,,3
3600 MEADOWBROOK DR,1,,,,2,,,,,,,,3
3600 WEST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,2,1,,,,,3
3600 WOODMOOR RD,1,,,,2,,,,,,,,3
3600 WREN AVE,,,,2,,1,,,,,,,3
3700 BIGLEAF LN,,,,,2,1,,,,,,,3
3700 BILL HICKOCK RD,,1,,1,,,,1,,,,,3
3700 BUCEES BL,,,,,,,,,,1,2,,3
3700 COLLEGE AV,1,1,1,,,,,,,,,,3
3700 DESERT RIDGE DR,,2,,,1,,,,,,,,3
3700 GALVEZ AVE,,,,1,,2,,,,,,,3
3700 MEMPHIS LN,,,1,,1,1,,,,,,,3
3700 NECHES ST,,,,2,1,,,,,,,,3
